               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.015956,           0.0044335,                   0,             0.99958,                   1,               0.995,             0.71394,            0.020456,           0.0050402,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.015889,           0.0044094,                   0,             0.99947,                   1,               0.995,             0.70019,            0.020958,             0.00505,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.015273,           0.0042406,                   0,             0.99858,                   1,               0.995,             0.71147,            0.020445,           0.0051002,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.015085,           0.0042999,                   0,             0.99971,                   1,               0.995,             0.70823,            0.020241,           0.0049372,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.01524,            0.004161,                   0,             0.99817,                   1,               0.995,             0.70338,            0.020467,           0.0049457,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.014869,           0.0042787,                   0,             0.99962,                   1,               0.995,             0.70532,            0.020457,            0.004977,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.014416,            0.004089,                   0,             0.99926,                   1,               0.995,             0.70682,            0.020253,           0.0050214,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.015034,           0.0042644,                   0,             0.99632,                   1,               0.995,             0.70769,            0.020055,           0.0049592,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.014719,             0.00417,                   0,             0.99919,                   1,               0.995,             0.71519,            0.020164,           0.0050488,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.014702,           0.0042242,                   0,             0.99877,                   1,               0.995,             0.71477,            0.020319,           0.0050931,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.014378,            0.004093,                   0,             0.99933,                   1,               0.995,             0.71173,            0.020844,           0.0051271,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.014938,           0.0041442,                   0,             0.99877,                   1,               0.995,               0.723,            0.020233,           0.0049668,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.014047,           0.0040418,                   0,             0.99952,                   1,               0.995,             0.71052,            0.020632,           0.0051279,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.013896,           0.0040241,                   0,             0.99954,                   1,               0.995,             0.71134,            0.020351,           0.0052328,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.013845,            0.003927,                   0,             0.99966,                   1,               0.995,             0.72118,            0.020122,           0.0052113,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.013357,           0.0039792,                   0,             0.99932,                   1,               0.995,             0.71773,            0.020228,           0.0051905,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.01392,           0.0038663,                   0,             0.99938,                   1,               0.995,             0.71234,            0.020229,           0.0050539,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.014114,           0.0039114,                   0,             0.99953,                   1,               0.995,              0.7108,            0.020108,           0.0051594,                   0,            0.007756,            0.007756,            0.007756
                  70,             0.01427,           0.0040414,                   0,             0.99919,                   1,               0.995,             0.71782,              0.0199,           0.0051246,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.013445,           0.0039156,                   0,             0.99963,                   1,               0.995,             0.71627,            0.020155,           0.0052016,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.013804,           0.0038971,                   0,             0.99941,                   1,               0.995,             0.70932,            0.020088,           0.0051918,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.013164,           0.0039284,                   0,             0.99989,                   1,               0.995,             0.71112,            0.020481,           0.0051499,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.013163,           0.0037805,                   0,             0.99964,                   1,               0.995,             0.72803,            0.019717,           0.0052358,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.013277,           0.0037353,                   0,                   1,              0.9998,               0.995,             0.71716,            0.020172,           0.0053523,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.013234,           0.0038707,                   0,             0.99963,                   1,               0.995,             0.72465,            0.019392,           0.0051723,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.012974,            0.003698,                   0,             0.99979,                   1,               0.995,             0.72519,            0.019751,           0.0051734,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.012914,           0.0037568,                   0,             0.99951,                   1,               0.995,             0.70996,             0.02039,            0.005282,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.012827,           0.0037894,                   0,             0.99978,                   1,               0.995,               0.714,            0.019912,            0.005169,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.012612,           0.0037634,                   0,              0.9997,                   1,               0.995,             0.72358,             0.01957,           0.0052793,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.012798,           0.0037099,                   0,             0.99954,                   1,               0.995,             0.72053,            0.019747,           0.0052586,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.012741,            0.003742,                   0,              0.9991,                   1,               0.995,             0.71612,            0.020032,           0.0053794,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.012801,           0.0035802,                   0,             0.99951,                   1,               0.995,             0.71512,            0.019948,           0.0052976,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.012304,           0.0035584,                   0,             0.99963,                   1,               0.995,             0.71723,            0.019937,           0.0052412,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.012402,           0.0035461,                   0,             0.99969,                   1,               0.995,             0.72112,            0.019661,           0.0052374,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.012522,           0.0036987,                   0,                   1,             0.99903,               0.995,             0.72492,            0.019678,            0.005274,                   0,            0.007195,            0.007195,            0.007195
                  87,             0.01155,           0.0035069,                   0,             0.99857,                   1,               0.995,             0.72086,            0.020148,           0.0055903,                   0,            0.007162,            0.007162,            0.007162
                  88,             0.01213,           0.0035705,                   0,             0.99971,                   1,               0.995,             0.72483,            0.019735,           0.0053302,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.012417,            0.003659,                   0,             0.99974,                   1,               0.995,             0.71911,            0.020259,           0.0053336,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.012175,           0.0034725,                   0,             0.99974,                   1,               0.995,             0.71606,            0.020257,           0.0053189,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.011977,            0.003508,                   0,             0.99947,                   1,               0.995,             0.72179,            0.020286,           0.0054656,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.011428,           0.0034416,                   0,              0.9995,                   1,               0.995,             0.71964,            0.020118,           0.0056858,                   0,            0.006997,            0.006997,            0.006997
                  93,             0.01216,           0.0034504,                   0,             0.99945,                   1,               0.995,             0.72333,            0.019904,           0.0054478,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.011794,           0.0034714,                   0,             0.99973,                   1,               0.995,             0.72414,            0.019967,           0.0054776,                   0,            0.006931,            0.006931,            0.006931
                  95,              0.0113,           0.0033379,                   0,             0.99978,                   1,               0.995,             0.72625,            0.019572,           0.0053275,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.011389,           0.0033885,                   0,             0.99966,                   1,               0.995,             0.71849,             0.02001,           0.0055017,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.011449,           0.0033645,                   0,             0.99633,                   1,               0.995,             0.71997,            0.020102,           0.0055452,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.011422,           0.0035028,                   0,             0.99882,                   1,               0.995,             0.72567,            0.019694,           0.0054584,                   0,            0.006799,            0.006799,            0.006799
                  99,             0.01173,           0.0033542,                   0,              0.9991,             0.99667,               0.995,             0.72187,            0.019788,           0.0055989,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.011135,           0.0033633,                   0,             0.99958,                   1,               0.995,             0.72739,            0.019606,           0.0055349,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.011241,           0.0033441,                   0,             0.99771,                   1,               0.995,             0.72086,            0.019842,            0.005626,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.011233,           0.0033265,                   0,             0.99945,                   1,               0.995,             0.72957,            0.019883,           0.0056345,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.011201,           0.0033086,                   0,             0.99972,                   1,               0.995,             0.73046,            0.019508,           0.0055025,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.011181,           0.0033285,                   0,             0.99963,                   1,               0.995,             0.72829,            0.019714,            0.005595,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.010813,           0.0032184,                   0,             0.99944,                   1,               0.995,              0.7245,            0.020285,           0.0058569,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.010776,           0.0033414,                   0,             0.99973,                   1,               0.995,             0.72051,            0.020037,           0.0056248,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.010694,           0.0032646,                   0,             0.99963,                   1,               0.995,             0.72279,            0.019742,           0.0054781,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.010561,           0.0031732,                   0,             0.99959,                   1,               0.995,             0.73045,            0.019674,           0.0056062,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.010916,           0.0032025,                   0,             0.99972,                   1,               0.995,              0.7254,            0.020062,           0.0056428,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.010529,           0.0031805,                   0,             0.99947,                   1,               0.995,             0.72024,            0.019868,           0.0056917,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.010814,           0.0033153,                   0,             0.99917,                   1,               0.995,             0.72957,            0.019458,           0.0054529,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.010748,           0.0033163,                   0,             0.99941,                   1,               0.995,             0.72414,            0.020093,           0.0055813,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.010246,           0.0031597,                   0,             0.99955,                   1,               0.995,             0.73235,            0.019238,           0.0056901,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.010217,           0.0030884,                   0,             0.99989,                   1,               0.995,             0.72693,            0.019638,           0.0056727,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.010354,           0.0031871,                   0,             0.99908,                   1,               0.995,             0.72483,            0.019636,            0.005682,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.010016,           0.0031501,                   0,             0.99961,                   1,               0.995,             0.72358,            0.019619,           0.0057999,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.010433,           0.0031811,                   0,             0.99972,                   1,               0.995,             0.71719,            0.019722,           0.0057071,                   0,            0.006172,            0.006172,            0.006172
                 118,           0.0098643,           0.0030106,                   0,             0.99955,                   1,               0.995,             0.72207,            0.019697,           0.0058162,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.010154,           0.0030121,                   0,             0.99972,                   1,               0.995,             0.72388,            0.019443,           0.0057967,                   0,            0.006106,            0.006106,            0.006106
