               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.018556,           0.0051844,                   0,             0.99975,                   1,               0.995,             0.72142,            0.019557,           0.0045929,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.018311,           0.0049837,                   0,             0.99979,                   1,               0.995,             0.72086,            0.019734,           0.0045658,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.01852,           0.0051191,                   0,             0.99971,                   1,               0.995,             0.72638,            0.020117,           0.0045941,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.018339,           0.0051864,                   0,              0.9998,                   1,               0.995,             0.72652,            0.019658,           0.0045938,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.018349,            0.005102,                   0,             0.99974,                   1,               0.995,              0.7237,            0.019503,           0.0045879,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.018277,           0.0050586,                   0,             0.99977,                   1,               0.995,             0.72811,            0.019688,            0.004523,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.017964,           0.0050329,                   0,             0.99979,                   1,               0.995,             0.72099,            0.019872,           0.0045626,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.018076,           0.0050203,                   0,             0.99978,                   1,               0.995,             0.72692,             0.01956,           0.0045232,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.018198,           0.0050544,                   0,             0.99976,                   1,               0.995,              0.7208,            0.020174,           0.0045714,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.017939,           0.0048607,                   0,             0.99971,                   1,               0.995,             0.72979,            0.019845,           0.0046028,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.017901,           0.0051257,                   0,             0.99949,                   1,               0.995,              0.7143,            0.019715,           0.0045824,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.017865,           0.0049255,                   0,             0.99957,                   1,               0.995,             0.71758,            0.020385,           0.0046668,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.018035,           0.0049154,                   0,             0.99969,                   1,               0.995,             0.71297,            0.020231,           0.0046818,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.017844,           0.0050079,                   0,             0.99965,                   1,               0.995,             0.72868,            0.019814,           0.0046199,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.017501,           0.0049848,                   0,             0.99976,                   1,               0.995,             0.71909,            0.019963,           0.0046626,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.017403,            0.004877,                   0,             0.99965,                   1,               0.995,             0.72814,            0.019514,           0.0046248,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.017105,           0.0048943,                   0,             0.99976,                   1,               0.995,             0.71158,            0.020674,           0.0047588,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.017363,           0.0047723,                   0,             0.99971,                   1,               0.995,             0.72973,            0.019377,           0.0046039,                   0,            0.007789,            0.007789,            0.007789
                  69,             0.01708,           0.0049053,                   0,             0.99969,                   1,               0.995,             0.72997,            0.019615,           0.0046534,                   0,            0.007756,            0.007756,            0.007756
